appId,tool,spec,check,location,detail,severity,proposedLabel,rationale,REVIEWED_LABEL
chatbot-bolt-1,bolt,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-bolt-1,bolt,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-bolt-1,bolt,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-bolt-1,bolt,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-bolt-1,bolt,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-bolt-1,bolt,chatbot,client-secret:auto-move,"supabase/functions/chat/index.ts:3","openai key hardcoded in server file",0.9,TP,"no design justification for unauthenticated access",
chatbot-bolt-1,bolt,chatbot,cors-tighten,"supabase/functions/chat/index.ts:6","permissive CORS (header-wildcard)",0.7,TP,"no design justification for unauthenticated access",
chatbot-bolt-1,bolt,chatbot,endpoint-auth,"supabase/functions/chat/index.ts","route proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
chatbot-bolt-2,bolt,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-bolt-2,bolt,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-bolt-2,bolt,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-bolt-2,bolt,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-bolt-2,bolt,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-bolt-2,bolt,chatbot,cors-tighten,"supabase/functions/chat/index.ts:4","permissive CORS (header-wildcard)",0.7,TP,"no design justification for unauthenticated access",
chatbot-bolt-2,bolt,chatbot,endpoint-auth,"supabase/functions/chat/index.ts","route proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
chatbot-bolt-3,bolt,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-bolt-3,bolt,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-bolt-3,bolt,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-bolt-3,bolt,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
